FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-49c1;4612;Kamure;6101;1500602;22/09/2021;A;COORDENACAO REGIONAL DE CUIABA;POINT (-54.8519744444 -7.52653277778);Altamira;Pará;30202002025;-752.653.278;-5.485.197.444
aldeias_pontos.fid--75d69c06_184becf87ba_-49c0;530;Kamuta;49401;1600154;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-53.1371888889 1.02115555556);Pedra Branca do Amapari;Amapá;30202001899;102.115.556;-5.313.718.889
aldeias_pontos.fid--75d69c06_184becf87ba_-49bf;160;Kamuywá;47601;1600501;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-51.5025555556 3.47080555556);Oiapoque;Amapá;30202001899;347.080.556;-5.150.255.556
aldeias_pontos.fid--75d69c06_184becf87ba_-49be;4970;KAMY (KM);49501;1303205;21/07/2022;A;COORDENACAO REGIONAL DE MANAUS;POINT (-60.7814333333 -1.78952777778);Novo Airão;Amazonas;30202001871;-178.952.778;-6.078.143.333
aldeias_pontos.fid--75d69c06_184becf87ba_-49bd;4796;Kanaã;3002;1507300;30/03/2022;A;COORDENACAO REGIONAL CENTRO-LESTES DO PARÁ;POINT (-52.3551666667 -5.45669444444);São Félix do Xingu;Pará;30202001913;-545.669.444;-5.235.516.667
aldeias_pontos.fid--75d69c06_184becf87ba_-49bc;4236;Kanafista;3801;1500602;16/07/2020;A;COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ;POINT (-52.6414166667 -4.38494444444);Altamira;Pará;30202001913;-438.494.444;-5.264.141.667
aldeias_pontos.fid--75d69c06_184becf87ba_-49bb;4216;Kanaí;50501;1502152;15/07/2020;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-49.9205 -6.55164722222);Canaã dos Carajás;Pará;30202001906;-655.164.722;-499.205
aldeias_pontos.fid--75d69c06_184becf87ba_-49ba;1144;Kanakiu;50901;1400050;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-63.867557539 2.6136466890001);Alto Alegre;Roraima;30202001955;261.364.669;-6.386.755.754
aldeias_pontos.fid--75d69c06_184becf87ba_-49b9;4780;Kanã Mihay;12701;3113800;29/03/2022;A;COORDENACAO REGIONAL DE MINAS GERAIS E ESPIRITO SANTOS;POINT (-43.1202777778 -19.0477777778);Carmésia;Minas Gerais;30202002067;-1.904.777.778;-4.312.027.778
aldeias_pontos.fid--75d69c06_184becf87ba_-49b8;3861;KANATA  AIETU;5901;1304203;01/04/2019;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-64.635255555556 -3.3614805555556);Tefé;Amazonas;30202001857;-336.148.056;-6.463.525.556
aldeias_pontos.fid--75d69c06_184becf87ba_-49b7;4131;Kaniné;33801;5103700;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.555763888889 -11.573461111111);Feliz Natal;Mato Grosso;30202002060;-1.157.346.111;-5.355.576.389
aldeias_pontos.fid--75d69c06_184becf87ba_-49b6;2277;KANINÉ;33801;5103700;09/07/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.5561611111 -11.5728277778);Feliz Natal;Mato Grosso;30202002060;-1.157.282.778;-5.355.616.111
aldeias_pontos.fid--75d69c06_184becf87ba_-49b5;798;kapey;23301;1710508;24/10/2016;A;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;POINT (-47.6663888889 -8.44916666667);Itacajá;Tocantins;30202001962;-844.916.667;-4.766.638.889
